asset_id,priority,asset_type,display_name,ticker_or_person,category,main_subject,support_1,support_2,beginner_message,avoid_misunderstanding,composition,source_policy,output_filename,prompt_id,status
person_sam_altman,A,person,Sam Altman,Sam Altman,生成AI経営,穏やかな胸上肖像,抽象的なAIモデルの光,開発者の机,生成AI産業を象徴する経営者,Microsoft社員や科学者の白衣姿にしない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_sam_altman.png,prompt_person_sam_altman,未生成
person_cc_wei,A,person,C.C. Wei,C.C. Wei,半導体製造経営,落ち着いた胸上肖像,最先端半導体工場,シリコンウェハー,世界の半導体製造を象徴する経営者,チップ設計者や政治家として描かない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_cc_wei.png,prompt_person_cc_wei,未生成
person_hock_tan,B,person,Hock Tan,Hock Tan,半導体・企業ソフト経営,落ち着いた胸上肖像,高速ネットワークチップ,企業ソフトの抽象背景,BroadcomのAI通信と企業ソフトを象徴する経営者,GPU専業企業の経営者に見せない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_hock_tan.png,prompt_person_hock_tan,未生成
person_rene_haas,B,person,Rene Haas,Rene Haas,半導体設計IP経営,親しみやすい胸上肖像,チップ設計図,多様な端末チップ,Armの設計IPを象徴する経営者,半導体工場の経営者として描かない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_rene_haas.png,prompt_person_rene_haas,未生成
person_sanjay_mehrotra,B,person,Sanjay Mehrotra,Sanjay Mehrotra,メモリ経営,落ち着いた胸上肖像,積層HBMメモリ,AIサーバー,AIメモリ供給を象徴する経営者,GPU会社の経営者として描かない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_sanjay_mehrotra.png,prompt_person_sanjay_mehrotra,未生成
person_brian_armstrong,B,person,Brian Armstrong,Brian Armstrong,暗号資産経営,中立的な胸上肖像,安全なデジタル資産取引ゲート,暗号資産ネットワーク,暗号資産取引基盤を象徴する経営者,ビットコイン創設者や発行者として描かない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_brian_armstrong.png,prompt_person_brian_armstrong,未生成
person_michael_saylor,B,person,Michael Saylor,Michael Saylor,ビットコイン関連経営,中立的な胸上肖像,企業の金庫に保管されたデジタル資産,企業分析の抽象背景,企業のビットコイン保有戦略を象徴する人物,ビットコインを発行・管理する人物として描かない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_michael_saylor.png,prompt_person_michael_saylor,未生成
person_jamie_dimon,B,person,Jamie Dimon,Jamie Dimon,銀行経営,威圧的すぎない落ち着いた胸上肖像,大手銀行ネットワーク,企業融資,米銀行業界を象徴する経営者,中央銀行総裁や政治家として描かない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_jamie_dimon.png,prompt_person_jamie_dimon,未生成
person_david_solomon,B,person,David Solomon,David Solomon,投資銀行経営,落ち着いた胸上肖像,企業取引と資本市場,金融アドバイスの机,投資銀行を象徴する経営者,一般銀行の窓口担当のように描かない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_david_solomon.png,prompt_person_david_solomon,未生成
person_marc_benioff,B,person,Marc Benioff,Marc Benioff,企業SaaS経営,本人を識別できる胸上肖像,顧客管理クラウド,企業データ,企業SaaSを象徴する経営者,SNS経営者や小売企業の人物に見せない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_marc_benioff.png,prompt_person_marc_benioff,未生成
person_shantanu_narayen,B,person,Shantanu Narayen,Shantanu Narayen,クリエイティブソフト経営,落ち着いた胸上肖像,画像・動画・文書制作の抽象背景,生成AI支援の光,クリエイティブソフトと生成AIを象徴する経営者,デザイナー本人や広告会社経営者として描かない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_shantanu_narayen.png,prompt_person_shantanu_narayen,未生成
person_arvind_krishna,B,person,Arvind Krishna,Arvind Krishna,企業IT・AI経営,落ち着いた胸上肖像,大型企業システム,AIクラウドの橋,企業ITの変革を象徴する経営者,パソコン製造だけの人物に見せない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_arvind_krishna.png,prompt_person_arvind_krishna,未生成
person_jerome_powell,C,person,Jerome Powell,Jerome Powell,米金融政策人物,本人を識別できる中立的な胸上肖像,中央銀行会見を連想する背景,金利政策を象徴する天秤,米金融政策の説明で使う人物素材,現在の役職を画像だけで断定せず、利上げ・利下げ方向も示さない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_jerome_powell.png,prompt_person_jerome_powell,未生成
person_christopher_waller,C,person,Christopher Waller,Christopher Waller,米金融政策人物,本人を識別できる中立的な胸上肖像,金融政策会合の抽象背景,債券市場の柔らかな光,米金融政策発言の説明で使う人物素材,現在の肩書きや政策方向を画像だけで断定しない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_christopher_waller.png,prompt_person_christopher_waller,未生成
person_donald_trump,C,person,Donald Trump,Donald Trump,米政策・関税人物,本人を識別できる中立的な胸上肖像,米政府政策を連想する控えめな背景,貿易コンテナの抽象要素,関税や米政策の説明で使う人物素材,支持・批判・勝敗・怒りを誇張せず、政治ポスター化しない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_donald_trump.png,prompt_person_donald_trump,未生成
person_role_us_treasury,C,person_role,米財務長官（汎用）,generic role,政策役職,特定人物に似せない中立的な政策担当者の胸上肖像,米国債を象徴する書類,政府庁舎の控えめな背景,財政・国債政策の説明に再利用する汎用人物,実在人物や現在の役職者に似せず、政策方向を断定しない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_role_us_treasury.png,prompt_person_role_us_treasury,未生成
person_role_boj_governor,C,person_role,日銀総裁（汎用）,generic role,政策役職,特定人物に似せない落ち着いた中央銀行担当者,円と金利を象徴する抽象天秤,日本の中央銀行会見背景,日銀政策・円相場の説明に再利用する汎用人物,実在人物に似せず、利上げ・利下げを示さない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_role_boj_governor.png,prompt_person_role_boj_governor,未生成
person_role_ecb_president,C,person_role,ECB総裁（汎用）,generic role,政策役職,特定人物に似せない落ち着いた欧州中央銀行担当者,欧州の金融政策を象徴する抽象背景,債券と通貨の天秤,欧州金利政策の説明に再利用する汎用人物,実在人物に似せず、政策方向や国別対立を示さない,胸から上、少し斜め向き、落ち着いた中立表情、背景は単純、画面右側に余白を残す,AI生成の絵本調エディトリアル肖像。公式写真は本人確認の参考にのみ使用,person_role_ecb_president.png,prompt_person_role_ecb_president,未生成
concept_expected_actual_gap,A,concept,期待・実際・差,,決算評価,三つの空の台座。左は高く期待された完成予想、中央は実際に届いた結果、右はその間の距離を橋で示す,期待を表す明るい光,実際の結果を表す落ち着いた光,良い結果でも期待との差で評価が変わる,文字や点数を描かず、実際の市場期待を一つに断定しない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_expected_actual_gap.png,prompt_concept_expected_actual_gap,未生成
concept_good_results_stock_down,A,concept,好決算なのに下落,,市場の矛盾,立派な成果物を受け取ったのに、期待の棚がさらに高く置かれている場面,良い成果を表す輝く箱,高すぎる期待を表す高い棚,数字が良くても期待に届かなければ株価は下がり得る,下落矢印や企業固有の原因を描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_good_results_stock_down.png,prompt_concept_good_results_stock_down,未生成
concept_weak_results_stock_up,A,concept,弱い数字でも上昇,,市場の矛盾,小さな成果でも、事前にもっと悪いと思われていたため安心する場面,低い事前期待を示す小さな影,安心を示す柔らかな朝日,結果が弱くても最悪を回避すると評価されることがある,上昇矢印や必ず上がる印象を描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_weak_results_stock_up.png,prompt_concept_weak_results_stock_up,未生成
concept_high_expectations,A,concept,期待が高すぎた,,市場心理,すでに高い山の頂上に置かれた企業が、さらに上を求められる構図,高い基準を示す二段目の山,小さな余白,高い期待ほど少しの未達が重くなる,株価バブルや暴落を断定する描写にしない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_high_expectations.png,prompt_concept_high_expectations,未生成
concept_guidance_matters,A,concept,今の数字より将来見通し,,決算,現在の明るい部屋から、先の道が霧で見えにくい構図,現在の成果,将来の道しるべ,市場は今期実績だけでなく次の見通しを見る,将来の株価方向を示さない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_guidance_matters.png,prompt_concept_guidance_matters,未生成
concept_ai_investment_payback,A,concept,AI投資と回収,,AI設備投資,大きな高性能パソコンを買ったが、成果物がまだ小さな芽の段階である構図,高価な設備,育ち始めた収益の芽,投資額だけでなく、いつ成果が返るかが重要,設備投資が必ず成功・失敗する印象にしない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_ai_investment_payback.png,prompt_concept_ai_investment_payback,未生成
concept_rate_up_tech_pressure,A,concept,金利上昇と大型テック,,金利,将来の大きな利益箱が、金利という重い風で遠く小さく見える構図,遠い将来の利益,重くなる資金コスト,金利上昇は将来利益の価値を押し下げやすい,必ずテック株が下落するように描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_rate_up_tech_pressure.png,prompt_concept_rate_up_tech_pressure,未生成
concept_world_to_nasdaq,A,concept,世界からNASDAQへ,,番組の基本因果,世界の出来事が金利・原油・供給網を通り、AI・半導体・大型テックへ届く一本の道,世界の小さな出来事,NASDAQを象徴するテック都市,世界ニュースが複数の中継点を通ってNASDAQへ届く,一つのニュースだけが指数を動かすように見せない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_world_to_nasdaq.png,prompt_concept_world_to_nasdaq,未生成
concept_semiconductor_supply_chain,A,concept,半導体供給網,,半導体,設計図、露光装置、ウェハー工場、HBM、AIサーバーが順番につながる一列の工房,各工程の道具,完成したAIサーバー,半導体は一社だけでは完成しない,国や企業を文字で列挙せず、工程を簡略化しすぎない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_semiconductor_supply_chain.png,prompt_concept_semiconductor_supply_chain,未生成
concept_gpu_hbm_foundry_cloud,A,concept,GPU・HBM・製造・クラウド,,AI供給網,GPUチップ、積層メモリ、製造工場、クラウドサーバーを四つの駅としてつなぐ構図,データの流れ,最終的なAIサービス,AI計算は複数企業の役割分担で成り立つ,GPUだけでAIが完成するように描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_gpu_hbm_foundry_cloud.png,prompt_concept_gpu_hbm_foundry_cloud,未生成
concept_data_center_power,A,concept,AIと電力,,データセンター,大きなAIサーバー施設へ発電所と送電網から電力が届き、冷却水が循環する構図,送電線,冷却設備,AI需要は半導体だけでなく電力と冷却も必要,電力不足や停電を必ず起こす印象にしない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_data_center_power.png,prompt_concept_data_center_power,未生成
concept_company_vs_index,A,concept,一社の材料とNASDAQ全体,,因果範囲,一つの小舟と、その周囲の大きな海流を別々に示す構図,個別企業の小舟,金利や指数全体の海流,一社のニュースと市場全体の動きは分けて考える,一社が指数全体を必ず動かすように描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_company_vs_index.png,prompt_concept_company_vs_index,未生成
concept_stock_divergence,A,concept,銘柄の明暗,,銘柄比較,同じ道路を走る三台の車が、異なる荷物と条件で別の速度になる構図,共通テーマの道路,各社固有の荷物,同じテーマでも企業ごとに反応が分かれる,勝者・敗者の王冠や永久的な優劣を描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_stock_divergence.png,prompt_concept_stock_divergence,未生成
concept_fact_interpretation_inference_unknown,A,concept,事実・解釈・推論・不明,,情報の確度,四つの透明な箱を、実物、新聞の会話、虫眼鏡、霧として表現,確認済みの実物,霧の先に残る不明,確認できた事実と解釈を分ける,各区分を文字で断定せず、推論を事実のように描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_fact_interpretation_inference_unknown.png,prompt_concept_fact_interpretation_inference_unknown,未生成
concept_verification_points,A,concept,今夜の検証ポイント,,検証,三つの観測窓から、金利、関連銘柄、企業発言を順に確認する構図,チェック用の空のカード,望遠鏡,予言ではなく、仮説を確かめる場所を見る,上がる・下がる予想や売買判断にしない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_verification_points.png,prompt_concept_verification_points,未生成
concept_rate_down_tech_support,B,concept,金利低下と大型テック,,金利,将来の利益箱が近く大きく見えやすくなる構図,軽くなる資金コスト,大型テックの建物,金利低下は将来利益の評価を支えやすい,必ず株価が上がるように描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_rate_down_tech_support.png,prompt_concept_rate_down_tech_support,未生成
concept_dollar_up_tech,B,concept,ドル高と企業収益,,為替,海外で得た複数通貨を強いドルへ戻すと箱が小さくなる構図,海外売上,強いドルを示す大きな秤,ドル高は海外売上の換算を重くすることがある,すべての企業に同じ影響が出るように描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_dollar_up_tech.png,prompt_concept_dollar_up_tech,未生成
concept_oil_inflation_rates_tech,B,concept,原油からNASDAQへ,,原油・インフレ,原油タンクから物流費、物価、金利、テック企業へ順につながる道,物流トラック,金利の天秤,原油高がインフレと金利を通じテックへ届く経路,原油だけがNASDAQを動かすように描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_oil_inflation_rates_tech.png,prompt_concept_oil_inflation_rates_tech,未生成
concept_export_controls,B,concept,半導体輸出規制,,政策・供給網,国境の検査ゲートで一部の高性能チップだけが止められる構図,許可された一般チップ,止まる高性能チップ,規制が販売先と供給網を変える,全面禁輸や特定国の悪役化にしない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_export_controls.png,prompt_concept_export_controls,未生成
concept_tariffs_supply_chain,B,concept,関税と供給網,,政策・コスト,国境を越える部品箱に追加の料金札を載せるが文字は描かない構図,工場,最終製品,関税は部品コストや企業判断へ影響する,関税だけで価格が決まるように描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_tariffs_supply_chain.png,prompt_concept_tariffs_supply_chain,未生成
concept_foundry_bottleneck,B,concept,先端製造のボトルネック,,半導体製造,多くの設計図が少数の最先端工場入口へ集まって列になる構図,設計企業,限られた製造ライン,最先端チップ製造能力が供給制約になり得る,特定企業の故障や停止を創作しない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_foundry_bottleneck.png,prompt_concept_foundry_bottleneck,未生成
concept_hbm_shortage,B,concept,HBM不足,,AIメモリ,GPUは用意されているが、積層メモリの箱が足りず完成を待つ構図,GPU,空いたメモリ棚,AIサーバーはGPUだけでなくHBMも必要,実際の不足が常に続くように断定しない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_hbm_shortage.png,prompt_concept_hbm_shortage,未生成
concept_chip_equipment_cycle,B,concept,半導体装置の循環,,半導体設備投資,工場建設の計画、装置購入、生産開始が季節のように循環する構図,工場計画,装置搬入,装置企業は半導体投資サイクルの影響を受ける,毎回同じ周期で動くように描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_chip_equipment_cycle.png,prompt_concept_chip_equipment_cycle,未生成
concept_ai_training_inference,B,concept,AI学習とAI推論,,AI,巨大な図書館で学ぶAIと、質問へ答える小さな窓口を左右に並べる,学習用の大量計算,日常利用の回答,AIは学習時と利用時で必要な計算が異なる,人間の知能や意識を持つように描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_ai_training_inference.png,prompt_concept_ai_training_inference,未生成
concept_cloud_capex,B,concept,クラウド設備投資,,大型テック,クラウド企業がサーバー、建物、電力へ大きく投資する建設現場,サーバーラック,電力設備,AIクラウド拡大には大きな先行投資が必要,投資が必ず無駄または成功と決めつけない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_cloud_capex.png,prompt_concept_cloud_capex,未生成
concept_valuation_discount_rate,B,concept,金利と現在価値,,評価,遠い将来の大きな果実を現在へ運ぶ途中で、金利の坂が急になる構図,将来利益の果実,現在の小さなかご,金利が高いほど遠い将来利益の現在価値は小さくなりやすい,厳密な計算式や必ず下落する印象を描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_valuation_discount_rate.png,prompt_concept_valuation_discount_rate,未生成
concept_sector_vs_company,B,concept,セクター材料と個別材料,,因果範囲,同じ天候の中を走る複数の店と、一店だけの故障を別レイヤーで示す,全体に降る雨,一社固有の故障,業界全体の材料と企業固有の材料を分ける,個別理由を他社へ自動的に広げない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_sector_vs_company.png,prompt_concept_sector_vs_company,未生成
concept_risk_on_off,C,concept,リスクオン・リスクオフ,,市場心理,明るい冒険道と安全な避難所の二つの道を投資家が行き来する構図,成長資産の道,安全資産の避難所,市場全体のリスク姿勢が資産の選ばれ方を変える,リスクオンを正解、リスクオフを失敗として描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_risk_on_off.png,prompt_concept_risk_on_off,未生成
concept_vix_volatility,C,concept,市場の不安と変動,,ボラティリティ,静かな湖と波立つ湖を並べ、同じ舟の揺れが変わる構図,静かな市場,荒れる市場,不安が高いと価格変動が大きくなりやすい,VIXの具体数値や暴落を断定しない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_vix_volatility.png,prompt_concept_vix_volatility,未生成
concept_consensus_price_implied,C,concept,公式予想と価格の期待,,Expected,公式な予定表と、市場参加者が先に並べた高い踏み台を左右に置く構図,公式予想,価格から推測される期待,確認済みコンセンサスと価格からの推論は別物,市場全員が同じ期待を持つように描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_consensus_price_implied.png,prompt_concept_consensus_price_implied,未生成
concept_main_amplifier_offset_counter,C,concept,主因・増幅・相殺・反対材料,,複合要因,一本の主な風、追い風、向かい風、別方向の旗を一つの帆船へ作用させる構図,主な風,逆向きの風,市場は複数の力が同時に働く,一つの材料だけで結果が決まるように描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_main_amplifier_offset_counter.png,prompt_concept_main_amplifier_offset_counter,未生成
concept_supply_demand_margin,C,concept,供給・需要・利益率,,企業業績,商品箱の数、買い手の列、企業に残る小さな余裕を三つの要素で表現,供給棚,需要の列,供給と需要のバランスが価格と利益率を変える,単純な値上げだけで利益が増えるように描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_supply_demand_margin.png,prompt_concept_supply_demand_margin,未生成
concept_cyber_business_impact,C,concept,サイバー障害と企業活動,,セキュリティ,企業ネットワークの一部が止まり、仕事の流れが迂回する構図,防御シールド,止まった業務の歯車,セキュリティ問題はITだけでなく事業へ波及する,具体的企業の被害や攻撃者を創作しない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_cyber_business_impact.png,prompt_concept_cyber_business_impact,未生成
concept_crypto_coin_mstr,C,concept,暗号資産から関連株へ,,暗号資産,デジタル資産の価格波が、取引所と企業の金庫へ別々に届く構図,取引所,企業の保有資産,同じ暗号資産テーマでもCOINとMSTRでは影響経路が違う,両社が同じ事業をするように描かない,一枚一概念。主役となる視覚比喩を中央に置き、補助要素は最大二つ、文字なしで意味が伝わる構図,AI生成・日付中立,concept_crypto_coin_mstr.png,prompt_concept_crypto_coin_mstr,未生成
